Anion Size (pm),n value,Bandgap,Layer Shift Factor(t1),Layer Shift Factor (t2),Molecular weight of spacer,Nitrogen content in spacer cation,Contact Material,Work function of Contact (ev),Structure Type,Bias,Light Intensity (W/cm2),Detectivity (Jones)
206,2,1.96,0.14,0.5,88.17,15.89,Ag,4.26,Lateral,9.5,0.01,2.92E+10
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.003,3.10E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.005,2.20E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.01,1.80E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.015,1.78E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.02,1.76E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.025,1.75E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.03,1.70E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.035,1.49E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.04,1.48E+11
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.003,6.20E+12
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.005,3.10E+12
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.009,2.12E+12
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.015,2.00E+12
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.031,1.45E+12
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.064,2.00E+12
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,5,0.1,1.07E+13
206,3,1.86,0.13,0.5,122.19,11.46,Cr/Au,4.8,FET,9,3.80E-08,2.00E+12
206,1,1.88,0.19,0.5,122.19,11.46,Au,5.1,Sandwich,5,5.69E-05,1.92E+11
206,1,1.88,0.19,0.5,122.19,11.46,Au,5.1,Lateral,3,1.96E-03,2.06E+11
206,1,1.88,0.19,0.5,122.19,11.46,Au,5.1,FET,0.5,0.546,6.00E+09
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,1.00E-06,1.86E+11
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,1.02E-05,3.00E+11
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,3.94E-05,8.26E+11
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,1.00E-04,7.75E+11
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,3.51E-04,8.00E+11
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,1.00E-03,8.00E+11
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,1.20E-07,541666666.7
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,2.12E-07,375000000
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,3.88E-07,250000000
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,8.37E-07,291666666.7
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,1.17E-06,250000000
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,1.59E-06,208333333.3
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,2.01E-06,208333333.3
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,2.31E-06,208333333.3
196,1,2.17,0.39,0.44,122.19,11.46,Au,5.1,Lateral,5,4.00E-03,2831.12
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.985507246,0.013,3043.993415
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.863768116,0.013,2777.848839
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.742028986,0.013,2534.974003
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.623188406,0.013,2534.974003
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.501449275,0.013,1926.496445
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.382608696,0.013,1604.345917
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.260869565,0.013,1464.073615
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.139130435,0.013,1015.365766
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.023188406,0.013,586.4242492
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.017391304,0.013,257.392582
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.057971014,0.013,535.1515913
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.182608696,0.013,1112.64755
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.301449275,0.013,1336.065699
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.423188406,0.013,1758.057651
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.539130435,0.013,2111.073292
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.660869565,0.013,2534.974003
206,1,1.88,0.19,0.5,122.19,11.46,Au,5.1,Sandwich,3,0.23,2.06E+11
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.3,2.00E-04,1.00E+11
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.3,2.00E-04,5.00E+11
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.3,2.00E-04,1.00E+12
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.3,2.00E-04,1.00E+13
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.6,2.00E-04,4.00E+11
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.6,2.00E-04,6.00E+11
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.6,2.00E-04,2.00E+12
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.6,2.00E-04,5.00E+13
206,2,1.96,0.5,0.5,74.15,18.89,Cr/Au,4.8,FET,5,0.1,1.20E+13
206,3,1.86,0.5,0.5,74.15,18.89,Cr/Au,4.8,FET,5,0.1,6.80E+14
206,4,1.85,0.5,0.5,74.15,18.89,Cr/Au,4.8,FET,5,0.1,1.00E+17
206,5,1.6,0.48,0.48,74.15,18.89,Cr/Au,4.8,FET,5,0.1,4.50E+13
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,2,2.50E-07,3.77E+10
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,2,2.50E-07,1.90E+11
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,FET,0.05,5.00E-06,1.20E+15
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,0.129,3.96E+11
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,0.664,2.96E+11
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,2.5,1.70E+11
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,11.146,9.48E+10
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,57.433,6.05E+10
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,133.553,3.12E+10
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,757.846,1.14E+10
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.129,2.59E+13
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.664,1.11E+13
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,2.5,4.64E+12
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,11.146,2.73E+12
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,57.433,1.03E+12
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,133.553,6.21E+11
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,757.846,1.99E+11
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.017,1.05E+13
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.088,4.64E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.588,2.53E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,2.561,1.57E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,11.697,1.79E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,56.065,1.24E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,127.266,9.24E+11
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,704.965,4.40E+11
196,1,1.88,0.19,0.5,74.15,18.89,C,3.75,Lateral,1,0.049,4.21E+09
196,1,1.88,0.19,0.5,74.15,18.89,C,3.75,Lateral,5,0.049,2.68E+10
196,2,1.96,0.5,0.5,74.15,18.89,C,3.75,Lateral,2,0.049,6.94E+11
196,2,1.96,0.5,0.5,74.15,18.89,C,3.75,Lateral,5,0.049,2.12E+12
206,1,2.3,0.49,0.5,74.15,18.89,C,3.75,Lateral,1,0.049,2.22E+11
206,1,2.3,0.49,0.5,74.15,18.89,C,3.75,Lateral,3,0.049,1.19E+12
206,2,1.96,0.5,0.5,74.15,18.89,C,3.75,Lateral,3,0.049,4.20E+11
206,2,1.96,0.5,0.5,74.15,18.89,C,3.75,Lateral,4,0.049,4.24E+11
206,4,1.85,0.5,0.5,74.15,18.89,C,3.75,Lateral,3,0.049,4.75E+12
206,4,1.85,0.5,0.5,74.15,18.89,C,3.75,Lateral,4,0.049,5.93E+12
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.120792079,0.002,4.15E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.16039604,0.002,4.51E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.201980198,0.002,5.12E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.23960396,0.002,5.80E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.279207921,0.002,6.05E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.316831683,0.002,6.31E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.36039604,0.002,6.58E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.4,0.002,7.15E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.441584158,0.002,7.46E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.481188119,0.002,7.78E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.520792079,0.002,7.78E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.558415842,0.002,8.46E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.598019802,0.002,8.64E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.637623762,0.002,8.82E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.679207921,0.002,9.59E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.120792079,0.002,2.51E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.16039604,0.002,2.85E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.201980198,0.002,3.37E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.23960396,0.002,3.90E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.279207921,0.002,4.24E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.316831683,0.002,4.71E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.36039604,0.002,5.12E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.4,0.002,5.45E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.441584158,0.002,5.80E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.481188119,0.002,6.05E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.520792079,0.002,6.18E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.558415842,0.002,6.44E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.598019802,0.002,6.72E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.637623762,0.002,6.86E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.679207921,0.002,7.15E+11
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.120792079,0.002,1.13E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.16039604,0.002,1.00E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.201980198,0.002,1.00E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.23960396,0.002,1.04E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.279207921,0.002,1.09E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.316831683,0.002,1.18E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.36039604,0.002,1.29E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.4,0.002,1.34E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.441584158,0.002,1.46E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.481188119,0.002,1.52E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.520792079,0.002,1.58E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.558415842,0.002,1.65E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.598019802,0.002,1.69E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.637623762,0.002,1.72E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.679207921,0.002,1.76E+12
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.120792079,0.002,7.78E+12
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.16039604,0.002,9.01E+12
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.201980198,0.002,1.04E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.23960396,0.002,1.13E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.279207921,0.002,1.23E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.316831683,0.002,1.34E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.36039604,0.002,1.46E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.4,0.002,1.55E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.441584158,0.002,1.62E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.481188119,0.002,1.69E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.520792079,0.002,1.76E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.558415842,0.002,1.84E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.598019802,0.002,1.91E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.637623762,0.002,1.95E+13
206,2,2.17,0.5,0.5,74.15,18.89,Au,5.1,FET,10,3.50E-04,3.50E+11
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,4.96E-07,58862847839
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,9.75E-07,33404849835
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,1.01E-05,1930697729
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,8.19E-05,408423865.3
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,5.09E-04,35938136.64
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,7.98E-04,27825594.02
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,1.03E-03,29393680.43
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,1.09E-06,2.06E+11
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0,1.72E+11
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.001,92137698824
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.002,78411237735
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.002,72873880188
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.003,60888079712
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.004,52651745993
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,1.00E-04,5.00E+10
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.00025,4.90E+10
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.0005,3.90E+10
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.001,3.80E+10
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.0015,3.85E+10
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.0025,3.88E+10
206,1,2.17,0.39,0.44,122.19,11.46,Au,5.1,Lateral,0,2.34E-06,4.00E+12
206,1,2,0.39,0.44,122.19,11.46,Au,5.1,Lateral,-3,2.34E-06,2.00E+11
206,4,2.23,0.48,0.49,74.15,18.89,Au,5.1,Sandwich,1.5,2.20E-01,1.68E+12
206,2,2.01,0.48,0.49,74.15,18.89,Au,5.1,Lateral,0,1.40E-02,9.50E+11
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,0.00E+00,3.00E+11
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,1.00E+02,1.00E+11
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,2.00E+02,9.00E+10
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,3.00E+02,7.00E+10
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,4.00E+02,6.50E+10
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,5.00E+02,5.00E+10
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Lateral,2,226,3.00E+11
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,8.00E-06,6.00E+12
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,7.97E-06,1.58E+12
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,1.49E-05,1.50E+12
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,2.62E-05,1.34E+12
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,4.75E-05,1.32E+12
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0001,1.04E+12
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0074,4.49E+11
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0158,3.50E+11
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0361,2.71E+11
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0575,2.33E+11
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,0.0709,2.50E+10
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,0.036,1.74E+10
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,0.0265,1.15E+10
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,0.0135,3.45E+09
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,1.7163,2.59E+09
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,4.1387,1.98E+09
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,6.6273,1.62E+09
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,8.9387,1.10E+09
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,1.20E-03,66094170404
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,2.54E-03,62721973094
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,4.99E-03,57058295964
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,8.07E-03,51972346786
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,1.10E-02,49585201794
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.0075,1.84E+11
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.0048,54805574179
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.0001,24243367494
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.0067,12601762283
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.013,9781151231
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.019,7664495738
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0076,2.58E+13
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0048,3.24E+12
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.000026,2.89E+12
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0063,5.12E+12
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0126,6.52E+12
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0184,7.12E+12
